ID "GASS ID" "SDSS ID" zSDSS M∗ µ∗ D25 R90/R50 NUV−r r col0 σ S/N SCO,obs SCO,cor "fof f" MH2 MH2/M∗ Flag
140 40317 J135533.72+144552.7 0.0408 11.07 9.29 44.5 3.39 5.45 14.32 148 1.65 ... ... ... ... 9.1 0.011 2
141 40257 J135842.23+132722.9 0.0393 11.13 9.07 53.0 3.22 5.72 13.94 149 1.85 ... ... ... ... 9.15 0.01 2
142 40247 J135942.61+124412.5 0.0392 11.35 9.32 63.8 3.37 5.69 13.59 150 2.22 ... ... ... ... 9.26 0.008 2
143 9301 J140316.98+042147.4 0.0462 11.33 9.77 28.7 2.92 3.36 15.38 151 1.96 8.81 8.94 10.14 ... 9.5 0.015 1
144 7286 J141432.05+031124.9 0.0269 10.73 8.97 53.4 2.49 4.56 13.53 152 1.41 5.03 3.43 4.74 ... 8.71 0.01 1
145 38462 J141545.94+102619.8 0.0258 10.75 8.9 52.6 2.36 4.39 14.06 153 2.22 15.24 17.04 26.99 0.37 9.43 0.049 1
146 38472 J141608.76+103543.8 0.0264 10.19 8.89 34.2 3.07 5.45 14.99 154 1.19 ... ... ... ... 8.55 0.023 2
147 38591 J141740.51+103459.9 0.0271 10.28 8.77 36.0 3.45 6.03 14.91 155 1.04 ... ... ... ... 8.52 0.017 2
148 41323 J141822.46+080551.0 0.044 11.02 9.0 47.7 3.24 5.53 14.39 156 1.3 ... ... ... ... 9.07 0.011 2
149 30811 J141845.69+055004.7 0.0489 11.28 9.21 55.1 3.19 5.26 14.2 157 1.68 ... ... ... ... 9.3 0.01 2
150 9483 J142056.54+035217.4 0.0354 10.71 8.93 33.3 2.46 2.70 14.41 158 2.25 10.44 9.00 10.58 ... 9.3 0.038 1
151 9514 J142209.71+043116.1 0.0267 10.51 9.0 37.1 2.97 4.53 14.88 159 1.21 3.62 2.31 2.80 ... 8.48 0.009 1
152 9551 J142732.37+044917.8 0.0269 10.91 9.21 60.3 2.8 3.86 13.71 160 2.19 40.60 53.16 86.09 0.19 9.97 0.115 1
153 9814 J143348.34+035724.7 0.0293 10.87 8.93 49.3 2.36 4.21 13.9 161 2.34 13.22 12.72 16.98 0.27 9.34 0.029 1
154 9601 J143351.42+034046.1 0.0288 10.83 9.33 47.5 3.18 6.09 14.17 162 2.13 ... ... ... ... 8.93 0.012 2
155 9917 J144025.99+033556.0 0.0281 10.66 9.6 32.4 3.04 5.58 14.52 163 1.53 ... ... ... ... 8.71 0.011 2
156 9948 J144414.74+041306.7 0.0256 10.7 9.2 81.3 2.56 3.66 13.99 164 1.56 ... ... ... ... 8.84 0.014 2
157 38717 J144929.32+090445.1 0.0405 10.41 8.44 38.3 2.55 3.02 15.35 165 2.05 5.74 5.72 7.00 ... 9.23 0.065 1
158 10019 J145153.39+032147.7 0.0308 10.68 8.65 64.7 2.48 2.95 14.19 166 2.21 11.98 13.26 24.13 0.42 9.53 0.072 1
159 38964 J150216.35+115503.2 0.0322 11.27 9.28 65.7 2.8 5.41 13.55 167 1.61 ... ... ... ... 9.12 0.007 2
160 39119 J150926.10+101718.3 0.0276 10.18 8.72 38.8 2.87 3.63 16.0 168 2.35 11.14 9.30 11.42 ... 9.12 0.086 1
161 10218 J151140.36+034034.2 0.0464 10.76 8.69 38.5 2.6 2.74 14.54 169 2.53 11.67 11.76 14.40 ... 9.66 0.078 1
162 39270 J151220.62+092059.7 0.0345 10.14 8.07 48.9 2.06 2.37 15.08 170 1.34 9.28 4.51 6.00 ... 9.03 0.076 1
163 42025 J151507.55+070116.5 0.0367 10.88 9.08 51.5 3.02 4.90 14.72 171 1.27 5.38 3.81 5.18 ... 9.02 0.014 1
164 41969 J151531.54+062213.3 0.0351 10.42 8.45 45.2 2.84 2.04 14.42 172 2.01 20.50 12.30 27.90 0.49 9.71 0.192 1
165 42140 J151531.97+072829.0 0.0457 10.98 9.02 47.9 3.13 5.99 14.57 173 1.23 ... ... ... ... 9.08 0.013 2
166 10367 J151553.85+030301.1 0.0379 11.08 9.12 39.1 2.5 4.54 14.31 174 1.81 ... ... ... ... 9.06 0.01 2
167 42013 J151604.47+065051.4 0.0368 10.77 9.11 39.6 3.07 4.08 14.73 175 2.6 23.04 29.40 36.34 0.10 9.86 0.124 1
168 42141 J151619.14+070944.4 0.036 10.97 8.53 56.0 1.84 3.49 13.95 176 1.21 ... ... ... ... 8.92 0.009 2
169 10358 J151711.15+032105.7 0.037 11.09 9.17 41.5 3.08 5.86 14.13 177 1.85 ... ... ... ... 9.06 0.009 2
170 10404 J151722.96+041248.9 0.0361 11.02 9.34 51.7 3.32 5.87 14.04 178 1.72 ... ... ... ... 9.04 0.01 2
171 10447 J151840.93+042505.3 0.0471 10.68 8.76 25.1 2.62 5.45 15.38 179 1.11 ... ... ... ... 8.98 0.02 2
172 39548 J152522.51+094352.3 0.0347 10.42 8.15 44.7 1.91 2.69 14.72 180 1.94 9.28 7.74 8.44 0.23 9.18 0.058 1
173 39605 J152559.84+094724.5 0.0339 10.13 9.07 18.5 3.22 5.45 15.91 181 1.26 ... ... ... ... 8.74 0.041 2
174 39595 J152716.72+100240.2 0.0435 10.87 9.01 44.7 3.15 3.50 14.61 182 1.99 11.61 13.50 13.50 0.18 9.58 0.051 1
