,GASS ID,SDSS ID,zSDSS,M∗,µ∗,D25,R90/R50,NUV−r,r
0,,,Table 1: Optical and UV parameters of the COLD GASS galaxies,,,,,,
185,42402,J155125.21+254539.0,0.0460,11.03,8.78,63.8,2.71,4.18,14.47
186,31156,J155752.01+041544.3,0.0258,10.68,9.05,44.6,2.97,5.76,14.08
187,29487,J155754.56+092435.7,0.0428,11.17,9.26,40.9,3.15,5.56,14.06
188,10817,J220120.93+121148.1,0.0291,10.61,9.33,39.5,3.31,6.34,14.55
189,10827,J220147.39+131228.5,0.0301,10.11,8.81,22.2,2.75,6.50,15.65
190,10831,J220322.59+123857.6,0.0273,10.46,9.05,35.0,2.73,5.00,14.79
191,10813,J220358.03+115421.2,0.0268,10.55,9.11,29.4,3.07,5.47,14.61
192,10836,J220419.41+125806.2,0.0274,10.69,9.27,51.3,3.28,6.28,14.28
193,10850,J220538.79+122521.3,0.0355,10.28,8.69,27.5,2.39,4.00,15.75
194,10841,J221111.69+114802.6,0.0270,10.36,9.05,32.0,2.76,3.68,14.65
195,10885,J221212.48+121218.6,0.0275,10.04,8.49,27.5,2.11,2.51,14.83
196,10889,J221236.07+140103.9,0.0266,10.45,9.14,34.8,3.37,5.15,14.83
197,10844,J221253.09+122158.7,0.0271,10.16,9.10,22.0,2.89,5.62,15.35
198,10872,J221321.50+132611.3,0.0281,10.48,8.81,33.5,2.73,5.15,14.76
199,10884,J221430.63+130444.9,0.0257,10.47,9.04,47.5,2.93,5.97,14.83
200,10942,J221530.28+134023.4,0.0251,10.04,9.06,21.6,3.26,5.54,15.43
201,10943,J221540.59+133616.9,0.0275,10.23,8.71,32.2,2.40,5.00,15.16
202,10944,J221543.66+134252.3,0.0262,10.05,9.28,25.1,3.24,5.51,15.44
203,10950,J221559.51+132715.3,0.0254,10.21,9.43,19.1,2.68,5.65,15.17
204,10949,J221600.51+130851.8,0.0262,10.33,9.21,39.8,3.36,5.43,14.79
205,10948,J221636.89+131514.4,0.0258,10.02,8.65,30.9,2.50,4.82,15.81
206,10952,J221657.95+133235.0,0.0262,10.47,8.97,47.2,2.58,7.13,15.06
207,11016,J223619.86+141852.3,0.0375,10.25,8.83,22.3,3.21,4.63,15.90
208,11015,J223701.58+142417.4,0.0367,10.76,8.93,44.3,3.11,5.51,14.63
211,11086,J225524.42+131453.8,0.0329,10.43,9.08,32.0,2.87,4.26,15.20
212,11087,J225525.96+125539.3,0.0376,10.88,9.16,42.9,3.05,5.28,14.86
213,11071,J225726.69+130005.9,0.0257,10.56,8.70,46.7,2.39,4.40,14.27
214,11126,J230111.07+130932.5,0.0484,10.75,8.71,29.2,2.39,3.66,14.96
215,11112,J230240.30+131944.6,0.0277,10.81,9.02,51.5,2.58,3.34,13.55
216,11120,J230343.06+135535.5,0.0271,10.40,8.99,38.6,2.64,3.49,14.54
217,11311,J231229.22+135632.1,0.0341,10.91,9.11,52.4,2.76,4.48,14.35
218,11298,J231330.39+140350.0,0.0394,10.10,8.29,36.7,2.61,3.88,16.60
219,11295,J231334.71+135912.3,0.0398,11.09,8.95,75.3,3.07,4.72,14.29
